estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,silhouette_kmeans,silhouette_control_median,silhouette_null_median,silhouette_excess_null,kmeans_inertia,kmeans_adjusted_rand,kmeans_aligned_accuracy,kmeans_n_iter,kmeans_stability_ari,kmeans_stability_ari_median,kmeans_stability_ari_min,stability_pair_count,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,32,201,D1_vs_D0,10000,16,0.007614328991621733,772e3a75ad627fbb2a4fec19c5962509b6c25f905317d4e769586b69656d961b,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04126064479351044,0.04271160252392292,0.04271160252392292,-0.0014509577304124832,112643.9296875,-9.933327001951085e-05,0.5004,45,0.054747947488918154,0.007539454844497299,0.0001310659129630025,3,fcd1a3d92a43640a58dd2df33a39b394bbcb192f5366f5a89a805235004c2db2,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,5459c7be5ae60231e9e165b38d4c0f72658abe28690c9297cc3b68a9038b97da,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,32,201,D0_vs_D0,10000,16,0.007614328991621733,772e3a75ad627fbb2a4fec19c5962509b6c25f905317d4e769586b69656d961b,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.042543549090623856,0.04271160252392292,0.04271160252392292,-0.00016805343329906464,38037.0234375,-7.687269446910584e-05,0.5024,59,0.4083277949056712,0.29848284037495126,0.29673672493985787,3,fcd1a3d92a43640a58dd2df33a39b394bbcb192f5366f5a89a805235004c2db2,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,5459c7be5ae60231e9e165b38d4c0f72658abe28690c9297cc3b68a9038b97da,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,32,201,D1_vs_D1,10000,16,0.007614328991621733,772e3a75ad627fbb2a4fec19c5962509b6c25f905317d4e769586b69656d961b,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.042879655957221985,0.04271160252392292,0.04271160252392292,0.00016805343329906464,38487.99609375,-9.799322412200344e-05,0.5007,64,0.5336705248107173,0.45881667208583066,0.4352795664953828,3,fcd1a3d92a43640a58dd2df33a39b394bbcb192f5366f5a89a805235004c2db2,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,5459c7be5ae60231e9e165b38d4c0f72658abe28690c9297cc3b68a9038b97da,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,32,201,pair_shuffled,10000,16,0.007614328991621733,772e3a75ad627fbb2a4fec19c5962509b6c25f905317d4e769586b69656d961b,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.039541129022836685,0.04271160252392292,0.04271160252392292,-0.003170473501086235,75398.8046875,-9.321687942013254e-05,0.5013,36,0.28301634283437394,0.2711597580482215,0.1365177698617587,3,fcd1a3d92a43640a58dd2df33a39b394bbcb192f5366f5a89a805235004c2db2,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,5459c7be5ae60231e9e165b38d4c0f72658abe28690c9297cc3b68a9038b97da,completed
