estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,mmd2,mmd_permutation_p,mmd_permutation_null_median,mmd_permutation_null_q95,mmd_control_null_median,mmd_excess_null,mmd_kernel,mmd_bandwidth,mmd_bandwidth_scope,mmd_samples_per_distribution,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,8,202,D1_vs_D0,10000,16,0.018581312149763107,480ff0976dad052f538d1fc3325d5c1ad6a88a82087d9aaa7e931a21d92e0bb8,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.007165701128542423,0.35,0.006723579950630665,0.01064658723771572,0.004957954399287701,0.0022077467292547226,rbf,3.7407150268554688,shared_main_reference,100,32d67accd99a1e61ae9d483aa68b80c3d2bd64c07b1c87343804f2f314668445,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,dc9f82b355989a677ea203aaf5311fd4fb87fc82869bebe07fb6b33f6570535d,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,8,202,D0_vs_D0,10000,16,0.018581312149763107,480ff0976dad052f538d1fc3325d5c1ad6a88a82087d9aaa7e931a21d92e0bb8,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.0041669029742479324,0.6,0.004187381826341152,0.00643848986364901,0.004957954399287701,-0.0007910514250397682,rbf,3.7407150268554688,shared_main_reference,100,32d67accd99a1e61ae9d483aa68b80c3d2bd64c07b1c87343804f2f314668445,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,dc9f82b355989a677ea203aaf5311fd4fb87fc82869bebe07fb6b33f6570535d,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,8,202,D1_vs_D1,10000,16,0.018581312149763107,480ff0976dad052f538d1fc3325d5c1ad6a88a82087d9aaa7e931a21d92e0bb8,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.005749005824327469,0.25,0.004605463705956936,0.0073168101254850616,0.004957954399287701,0.0007910514250397682,rbf,3.7407150268554688,shared_main_reference,100,32d67accd99a1e61ae9d483aa68b80c3d2bd64c07b1c87343804f2f314668445,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,dc9f82b355989a677ea203aaf5311fd4fb87fc82869bebe07fb6b33f6570535d,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,8,202,pair_shuffled,10000,16,0.018581312149763107,480ff0976dad052f538d1fc3325d5c1ad6a88a82087d9aaa7e931a21d92e0bb8,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.015521635301411152,0.05,0.00623729545623064,0.009258112404495476,0.004957954399287701,0.010563680902123451,rbf,3.7407150268554688,shared_main_reference,100,32d67accd99a1e61ae9d483aa68b80c3d2bd64c07b1c87343804f2f314668445,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,dc9f82b355989a677ea203aaf5311fd4fb87fc82869bebe07fb6b33f6570535d,completed
