estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,silhouette_kmeans,silhouette_control_median,silhouette_null_median,silhouette_excess_null,kmeans_inertia,kmeans_adjusted_rand,kmeans_aligned_accuracy,kmeans_n_iter,kmeans_stability_ari,kmeans_stability_ari_median,kmeans_stability_ari_min,stability_pair_count,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,8,4,201,D1_vs_D0,10000,16,0.03326902166008949,9503d9f2acf89776edb1d702faf3237ffaa89514887f44e2bad741d47682f94d,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04181459918618202,0.047033026814460754,0.047033026814460754,-0.005218427628278732,61173.44921875,0.03158717508144763,0.589,57,0.20410378147664324,0.2590053730557464,0.06907538309055225,3,043d77f92f9b43bf687e48c4e3927cf0a385e0c889f8ceb76bc94f2f94cd1b58,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,363e4d85515debf248096958c8eef8388d049ff9510d7bba6d0bac20c60c2dea,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,8,4,201,D0_vs_D0,10000,16,0.03326902166008949,9503d9f2acf89776edb1d702faf3237ffaa89514887f44e2bad741d47682f94d,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.043477363884449005,0.047033026814460754,0.047033026814460754,-0.0035556629300117493,38324.40234375,0.0003410241088204,0.5105,52,0.4867778905217259,0.4310666613061115,0.36017608573632176,3,043d77f92f9b43bf687e48c4e3927cf0a385e0c889f8ceb76bc94f2f94cd1b58,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,363e4d85515debf248096958c8eef8388d049ff9510d7bba6d0bac20c60c2dea,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,8,4,201,D1_vs_D1,10000,16,0.03326902166008949,9503d9f2acf89776edb1d702faf3237ffaa89514887f44e2bad741d47682f94d,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.050588689744472504,0.047033026814460754,0.047033026814460754,0.0035556629300117493,40455.99609375,-4.800172003702174e-05,0.5036,22,0.9322594667605979,0.9177555657103453,0.9143096217323556,3,043d77f92f9b43bf687e48c4e3927cf0a385e0c889f8ceb76bc94f2f94cd1b58,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,363e4d85515debf248096958c8eef8388d049ff9510d7bba6d0bac20c60c2dea,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,8,4,201,pair_shuffled,10000,16,0.03326902166008949,9503d9f2acf89776edb1d702faf3237ffaa89514887f44e2bad741d47682f94d,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04453684762120247,0.047033026814460754,0.047033026814460754,-0.0024961791932582855,50491.16015625,0.04708071639688776,0.6086,31,0.9601617281028677,0.9635348147909013,0.9463343474412598,3,043d77f92f9b43bf687e48c4e3927cf0a385e0c889f8ceb76bc94f2f94cd1b58,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,363e4d85515debf248096958c8eef8388d049ff9510d7bba6d0bac20c60c2dea,completed
