estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,mmd2,mmd_permutation_p,mmd_permutation_null_median,mmd_permutation_null_q95,mmd_control_null_median,mmd_excess_null,mmd_kernel,mmd_bandwidth,mmd_bandwidth_scope,mmd_samples_per_distribution,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,16,202,D1_vs_D0,10000,16,0.01775388792157173,6a9511e019a8c35d6ce499afab9e23d91f12cca73ce3a3864853b1d56376585e,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.26511332392692566,0.05,0.006592810153961182,0.010206047073006626,0.0035315241548232734,0.2615817997721024,rbf,5.226723670959473,shared_main_reference,100,16fbc4097f168387790f33ab964e50a3438369b828d472fd17fa1177ec7b77be,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,3ed1f5fd0a3784b4e6c82d9440f32803ee332c2413fdd61ae212a23d1214c180,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,16,202,D0_vs_D0,10000,16,0.01775388792157173,6a9511e019a8c35d6ce499afab9e23d91f12cca73ce3a3864853b1d56376585e,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.0017262002220377326,0.9,0.0027824523858726025,0.0036677801515907025,0.0035315241548232734,-0.0018053239327855408,rbf,5.226723670959473,shared_main_reference,100,16fbc4097f168387790f33ab964e50a3438369b828d472fd17fa1177ec7b77be,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,3ed1f5fd0a3784b4e6c82d9440f32803ee332c2413fdd61ae212a23d1214c180,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,16,202,D1_vs_D1,10000,16,0.01775388792157173,6a9511e019a8c35d6ce499afab9e23d91f12cca73ce3a3864853b1d56376585e,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.005336848087608814,0.65,0.005678099114447832,0.007509710965678096,0.0035315241548232734,0.0018053239327855408,rbf,5.226723670959473,shared_main_reference,100,16fbc4097f168387790f33ab964e50a3438369b828d472fd17fa1177ec7b77be,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,3ed1f5fd0a3784b4e6c82d9440f32803ee332c2413fdd61ae212a23d1214c180,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,16,202,pair_shuffled,10000,16,0.01775388792157173,6a9511e019a8c35d6ce499afab9e23d91f12cca73ce3a3864853b1d56376585e,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.2796876132488251,0.05,0.005677285138517618,0.012594243884086604,0.0035315241548232734,0.2761560890940018,rbf,5.226723670959473,shared_main_reference,100,16fbc4097f168387790f33ab964e50a3438369b828d472fd17fa1177ec7b77be,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,3ed1f5fd0a3784b4e6c82d9440f32803ee332c2413fdd61ae212a23d1214c180,completed
