estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,mmd2,mmd_permutation_p,mmd_permutation_null_median,mmd_permutation_null_q95,mmd_control_null_median,mmd_excess_null,mmd_kernel,mmd_bandwidth,mmd_bandwidth_scope,mmd_samples_per_distribution,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,32,202,D1_vs_D0,10000,16,0.011937575414776802,45323d21fd427df1551a28bfabe171e027a557ba6f020068e76a25a5edbb1b2c,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.3352443277835846,0.05,0.007341689430177212,0.009979881625622508,0.0019383446779102087,0.3333059831056744,rbf,6.079157829284668,shared_main_reference,100,6d2f653f1d6d2b1189739e88eb101f2bea31c4530dcfed6fb43bf752ac23f68d,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,adb307d18ca8a64fe54e66eab6cf5856c6f24ac09785cf8b89026440cbbf54b0,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,32,202,D0_vs_D0,10000,16,0.011937575414776802,45323d21fd427df1551a28bfabe171e027a557ba6f020068e76a25a5edbb1b2c,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.002075841184705496,0.25,0.0016682399436831474,0.0025533617474138718,0.0019383446779102087,0.00013749650679528713,rbf,6.079157829284668,shared_main_reference,100,6d2f653f1d6d2b1189739e88eb101f2bea31c4530dcfed6fb43bf752ac23f68d,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,adb307d18ca8a64fe54e66eab6cf5856c6f24ac09785cf8b89026440cbbf54b0,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,32,202,D1_vs_D1,10000,16,0.011937575414776802,45323d21fd427df1551a28bfabe171e027a557ba6f020068e76a25a5edbb1b2c,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.0018008481711149216,0.95,0.003843391314148903,0.006469996972009538,0.0019383446779102087,-0.00013749650679528713,rbf,6.079157829284668,shared_main_reference,100,6d2f653f1d6d2b1189739e88eb101f2bea31c4530dcfed6fb43bf752ac23f68d,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,adb307d18ca8a64fe54e66eab6cf5856c6f24ac09785cf8b89026440cbbf54b0,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,32,202,pair_shuffled,10000,16,0.011937575414776802,45323d21fd427df1551a28bfabe171e027a557ba6f020068e76a25a5edbb1b2c,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.3657864034175873,0.05,0.0044021280482411385,0.011717846989631648,0.0019383446779102087,0.36384805873967707,rbf,6.079157829284668,shared_main_reference,100,6d2f653f1d6d2b1189739e88eb101f2bea31c4530dcfed6fb43bf752ac23f68d,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,adb307d18ca8a64fe54e66eab6cf5856c6f24ac09785cf8b89026440cbbf54b0,completed
