estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,mmd2,mmd_permutation_p,mmd_permutation_null_median,mmd_permutation_null_q95,mmd_control_null_median,mmd_excess_null,mmd_kernel,mmd_bandwidth,mmd_bandwidth_scope,mmd_samples_per_distribution,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,16,201,D1_vs_D0,10000,16,0.011553612537682056,fe4442b3add4d1b2076b598f862e546624689f14c24cec2b6fda6a5ecffdbdbc,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.007649093866348267,0.5,0.0075642429292202,0.012624328769743441,0.003428605035878718,0.004220488830469549,rbf,4.126086235046387,shared_main_reference,100,948dceb559da0c3fff63324bc0f33799ce1662008513b77c4336ac7afc9681f6,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,6a6972ba60c9fa2c9348a44746cde0f4e241c2cf9fefbb6feebacc4373086e64,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,16,201,D0_vs_D0,10000,16,0.011553612537682056,fe4442b3add4d1b2076b598f862e546624689f14c24cec2b6fda6a5ecffdbdbc,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.0029342162888497114,0.95,0.0041665323078632355,0.006249827146530151,0.003428605035878718,-0.0004943887470290065,rbf,4.126086235046387,shared_main_reference,100,948dceb559da0c3fff63324bc0f33799ce1662008513b77c4336ac7afc9681f6,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,6a6972ba60c9fa2c9348a44746cde0f4e241c2cf9fefbb6feebacc4373086e64,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,16,201,D1_vs_D1,10000,16,0.011553612537682056,fe4442b3add4d1b2076b598f862e546624689f14c24cec2b6fda6a5ecffdbdbc,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.003922993782907724,0.65,0.004776031710207462,0.006593792652711272,0.003428605035878718,0.0004943887470290065,rbf,4.126086235046387,shared_main_reference,100,948dceb559da0c3fff63324bc0f33799ce1662008513b77c4336ac7afc9681f6,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,6a6972ba60c9fa2c9348a44746cde0f4e241c2cf9fefbb6feebacc4373086e64,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,16,201,pair_shuffled,10000,16,0.011553612537682056,fe4442b3add4d1b2076b598f862e546624689f14c24cec2b6fda6a5ecffdbdbc,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.02230396866798401,0.05,0.005693922750651836,0.007161171548068523,0.003428605035878718,0.01887536363210529,rbf,4.126086235046387,shared_main_reference,100,948dceb559da0c3fff63324bc0f33799ce1662008513b77c4336ac7afc9681f6,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,6a6972ba60c9fa2c9348a44746cde0f4e241c2cf9fefbb6feebacc4373086e64,completed
