estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,silhouette_kmeans,silhouette_control_median,silhouette_null_median,silhouette_excess_null,kmeans_inertia,kmeans_adjusted_rand,kmeans_aligned_accuracy,kmeans_n_iter,kmeans_stability_ari,kmeans_stability_ari_median,kmeans_stability_ari_min,stability_pair_count,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,16,203,D1_vs_D0,10000,16,0.017736995592713356,d106dc81bbde1cabe02c62dd0bbe4c6d5a62dd2aca6fb6edb6a4381fe9533f75,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.2060117870569229,0.04557088017463684,0.04557088017463684,0.16044090688228607,108980.71875,0.9714045007246167,0.9928,4,1.0,1.0,1.0,3,cf7223573a7130958c377c262df44b8f050a0ed4ef9b45430210a59269d055aa,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,ff97aa2887facd38113c4fac2301ca08c90cd98ace2fc6deb5c107f525995536,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,16,203,D0_vs_D0,10000,16,0.017736995592713356,d106dc81bbde1cabe02c62dd0bbe4c6d5a62dd2aca6fb6edb6a4381fe9533f75,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04311303049325943,0.04557088017463684,0.04557088017463684,-0.002457849681377411,38395.9296875,-9.965948384853451e-05,0.5003,54,0.6169869634719656,0.5993455879401407,0.5769498777612773,3,cf7223573a7130958c377c262df44b8f050a0ed4ef9b45430210a59269d055aa,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,ff97aa2887facd38113c4fac2301ca08c90cd98ace2fc6deb5c107f525995536,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,16,203,D1_vs_D1,10000,16,0.017736995592713356,d106dc81bbde1cabe02c62dd0bbe4c6d5a62dd2aca6fb6edb6a4381fe9533f75,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04802872985601425,0.04557088017463684,0.04557088017463684,0.002457849681377411,96280.9765625,-7.063235060072614e-05,0.5026999999999999,87,0.9380497784988595,0.9196725464221832,0.9123977129662058,3,cf7223573a7130958c377c262df44b8f050a0ed4ef9b45430210a59269d055aa,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,ff97aa2887facd38113c4fac2301ca08c90cd98ace2fc6deb5c107f525995536,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,7,16,203,pair_shuffled,10000,16,0.017736995592713356,d106dc81bbde1cabe02c62dd0bbe4c6d5a62dd2aca6fb6edb6a4381fe9533f75,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.22664526104927063,0.04557088017463684,0.04557088017463684,0.1810743808746338,82463.28125,0.967859226403643,0.9919,4,1.0,1.0,1.0,3,cf7223573a7130958c377c262df44b8f050a0ed4ef9b45430210a59269d055aa,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,ff97aa2887facd38113c4fac2301ca08c90cd98ace2fc6deb5c107f525995536,completed
