estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,silhouette_kmeans,silhouette_control_median,silhouette_null_median,silhouette_excess_null,kmeans_inertia,kmeans_adjusted_rand,kmeans_aligned_accuracy,kmeans_n_iter,kmeans_stability_ari,kmeans_stability_ari_median,kmeans_stability_ari_min,stability_pair_count,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,4,201,D1_vs_D0,10000,16,0.032964348793029785,6d03ec5d4ed6665cfe941d9cc2e2f0ec5846c711ce75744df72c42629524b68f,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04091191291809082,0.04279983602464199,0.04279983602464199,-0.0018879231065511703,60682.484375,-7.499845426258195e-05,0.5025,30,0.15621370347546645,0.046560645284818604,0.017644016284412343,3,595af3d8a6c96ccd3ec7601abd55862f77ebb8f453d8125cd7ab0dbe97267b6a,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,26d9ae9f08250ab8579b978984a1685be14a95f4fe9df7bd73fcd2ba1d858cc0,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,4,201,D0_vs_D0,10000,16,0.032964348793029785,6d03ec5d4ed6665cfe941d9cc2e2f0ec5846c711ce75744df72c42629524b68f,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04259856417775154,0.04279983602464199,0.04279983602464199,-0.00020127184689044952,38411.77734375,-9.51403043309857e-05,0.5011,19,0.26924173560778475,0.21745072389647152,0.08764322261285272,3,595af3d8a6c96ccd3ec7601abd55862f77ebb8f453d8125cd7ab0dbe97267b6a,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,26d9ae9f08250ab8579b978984a1685be14a95f4fe9df7bd73fcd2ba1d858cc0,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,4,201,D1_vs_D1,10000,16,0.032964348793029785,6d03ec5d4ed6665cfe941d9cc2e2f0ec5846c711ce75744df72c42629524b68f,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04300110787153244,0.04279983602464199,0.04279983602464199,0.00020127184689044952,38074.13671875,-4.523963925450411e-05,0.5037,62,0.36596622356699354,0.3196091178777205,0.2268796496733643,3,595af3d8a6c96ccd3ec7601abd55862f77ebb8f453d8125cd7ab0dbe97267b6a,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,26d9ae9f08250ab8579b978984a1685be14a95f4fe9df7bd73fcd2ba1d858cc0,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,4,201,pair_shuffled,10000,16,0.032964348793029785,6d03ec5d4ed6665cfe941d9cc2e2f0ec5846c711ce75744df72c42629524b68f,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04160957783460617,0.04279983602464199,0.04279983602464199,-0.00119025819003582,49702.5,-6.636075909827624e-05,0.5029,64,0.4931982040390166,0.4432339653282534,0.43422445817899114,3,595af3d8a6c96ccd3ec7601abd55862f77ebb8f453d8125cd7ab0dbe97267b6a,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,26d9ae9f08250ab8579b978984a1685be14a95f4fe9df7bd73fcd2ba1d858cc0,completed
