estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,mmd2,mmd_permutation_p,mmd_permutation_null_median,mmd_permutation_null_q95,mmd_control_null_median,mmd_excess_null,mmd_kernel,mmd_bandwidth,mmd_bandwidth_scope,mmd_samples_per_distribution,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,4,202,D1_vs_D0,10000,16,0.08048777282238007,a1b5655af322d87e2458bc310ca9e8f1c20ea928c387e3b908d7aa8ff5b9814b,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.3162500262260437,0.05,0.005611133761703968,0.009219817444682121,0.0032931920140981674,0.31295683421194553,rbf,5.820269584655762,shared_main_reference,100,176936495d8cb6d936225d0477ab8cc64cde3c2031b11df715706548fae91b42,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,dbb4fedf8afa5ad81487f45e73bb203e2b6a77d5e4a5fcaf8468648cc2bbae0e,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,4,202,D0_vs_D0,10000,16,0.08048777282238007,a1b5655af322d87e2458bc310ca9e8f1c20ea928c387e3b908d7aa8ff5b9814b,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.001245484221726656,0.95,0.0019570104777812958,0.0032882806612178675,0.0032931920140981674,-0.0020477077923715115,rbf,5.820269584655762,shared_main_reference,100,176936495d8cb6d936225d0477ab8cc64cde3c2031b11df715706548fae91b42,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,dbb4fedf8afa5ad81487f45e73bb203e2b6a77d5e4a5fcaf8468648cc2bbae0e,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,4,202,D1_vs_D1,10000,16,0.08048777282238007,a1b5655af322d87e2458bc310ca9e8f1c20ea928c387e3b908d7aa8ff5b9814b,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.005340899806469679,0.75,0.0061383661814033985,0.008484905213117596,0.0032931920140981674,0.0020477077923715115,rbf,5.820269584655762,shared_main_reference,100,176936495d8cb6d936225d0477ab8cc64cde3c2031b11df715706548fae91b42,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,dbb4fedf8afa5ad81487f45e73bb203e2b6a77d5e4a5fcaf8468648cc2bbae0e,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,4,202,pair_shuffled,10000,16,0.08048777282238007,a1b5655af322d87e2458bc310ca9e8f1c20ea928c387e3b908d7aa8ff5b9814b,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.34703555703163147,0.05,0.0055362205021083355,0.009249593131244177,0.0032931920140981674,0.3437423650175333,rbf,5.820269584655762,shared_main_reference,100,176936495d8cb6d936225d0477ab8cc64cde3c2031b11df715706548fae91b42,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,dbb4fedf8afa5ad81487f45e73bb203e2b6a77d5e4a5fcaf8468648cc2bbae0e,completed
