estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,mmd2,mmd_permutation_p,mmd_permutation_null_median,mmd_permutation_null_q95,mmd_control_null_median,mmd_excess_null,mmd_kernel,mmd_bandwidth,mmd_bandwidth_scope,mmd_samples_per_distribution,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,2,203,D1_vs_D0,10000,16,0.057701677083969116,971b3b95d2dd4b186c8ec35261da307047f1479c71d2fdc990a211edcd8b87e0,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.008764639496803284,0.4,0.007872226648032665,0.011205667536705731,0.0047129299491643906,0.004051709547638893,rbf,3.2957100868225098,shared_main_reference,100,b197dedeac620fe4a67b268ee058e78cf60bba58de99a21504e0a48e00ffad13,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,d21fc226b78b078e2cf6142468ace47a097bfba4dc655e2b11c19a13eb8fb46a,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,2,203,D0_vs_D0,10000,16,0.057701677083969116,971b3b95d2dd4b186c8ec35261da307047f1479c71d2fdc990a211edcd8b87e0,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.005752753000706434,0.6,0.006103090941905975,0.008022090326994656,0.0047129299491643906,0.0010398230515420437,rbf,3.2957100868225098,shared_main_reference,100,b197dedeac620fe4a67b268ee058e78cf60bba58de99a21504e0a48e00ffad13,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,d21fc226b78b078e2cf6142468ace47a097bfba4dc655e2b11c19a13eb8fb46a,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,2,203,D1_vs_D1,10000,16,0.057701677083969116,971b3b95d2dd4b186c8ec35261da307047f1479c71d2fdc990a211edcd8b87e0,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.003673106897622347,1.0,0.006268976256251335,0.009293893538415424,0.0047129299491643906,-0.0010398230515420437,rbf,3.2957100868225098,shared_main_reference,100,b197dedeac620fe4a67b268ee058e78cf60bba58de99a21504e0a48e00ffad13,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,d21fc226b78b078e2cf6142468ace47a097bfba4dc655e2b11c19a13eb8fb46a,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,10,2,203,pair_shuffled,10000,16,0.057701677083969116,971b3b95d2dd4b186c8ec35261da307047f1479c71d2fdc990a211edcd8b87e0,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.018131326884031296,0.05,0.007591619156301022,0.009617823176085944,0.0047129299491643906,0.013418396934866905,rbf,3.2957100868225098,shared_main_reference,100,b197dedeac620fe4a67b268ee058e78cf60bba58de99a21504e0a48e00ffad13,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,d21fc226b78b078e2cf6142468ace47a097bfba4dc655e2b11c19a13eb8fb46a,completed
