estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,mmd2,mmd_permutation_p,mmd_permutation_null_median,mmd_permutation_null_q95,mmd_control_null_median,mmd_excess_null,mmd_kernel,mmd_bandwidth,mmd_bandwidth_scope,mmd_samples_per_distribution,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,203,D1_vs_D1,10000,16,0.1794435679912567,9438c6304c9de8943edcbf5919a2ce86824f48f8767373bb806f703dc440500c,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.011485803872346878,0.1,0.007677367422729731,0.01141280177980661,0.007212032447569072,0.004273771424777806,rbf,4.157676696777344,shared_main_reference,100,92f767740d0108e64499e79933a5b49a000b0db14e83faa4d9d329586fb7b1a1,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,f334aff5668f65ab17466ce5f1f81f066dedd81640dfaeb7f217db25d29fbc70,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,203,pair_shuffled,10000,16,0.1794435679912567,9438c6304c9de8943edcbf5919a2ce86824f48f8767373bb806f703dc440500c,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.15861938893795013,0.05,0.007515890058130026,0.009960272721946238,0.007212032447569072,0.15140735649038106,rbf,4.157676696777344,shared_main_reference,100,92f767740d0108e64499e79933a5b49a000b0db14e83faa4d9d329586fb7b1a1,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,f334aff5668f65ab17466ce5f1f81f066dedd81640dfaeb7f217db25d29fbc70,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,2,201,D0_vs_D0,10000,16,0.11924552917480469,d8505c6ba416eef684ddfcd7145bc8d208280eeee16f240efa5325244ef66633,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.002170850755646825,0.9,0.003183230757713318,0.005052231391891837,0.0047471459256485105,-0.0025762951700016856,rbf,4.917510986328125,shared_main_reference,100,7cc1b49000737fa030df88a4c6798ab32b7908c7362aacccdfea70851971e9a3,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,c81ffd018b1f6d4c916866501b1aea8f3866b9061045b52fd49a644258f92812,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,2,201,D1_vs_D0,10000,16,0.11924552917480469,d8505c6ba416eef684ddfcd7145bc8d208280eeee16f240efa5325244ef66633,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.235073059797287,0.05,0.007628340739756823,0.008955497480928894,0.0047471459256485105,0.23032591387163848,rbf,4.917510986328125,shared_main_reference,100,7cc1b49000737fa030df88a4c6798ab32b7908c7362aacccdfea70851971e9a3,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,c81ffd018b1f6d4c916866501b1aea8f3866b9061045b52fd49a644258f92812,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,2,201,D1_vs_D1,10000,16,0.11924552917480469,d8505c6ba416eef684ddfcd7145bc8d208280eeee16f240efa5325244ef66633,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.007323441095650196,0.7,0.008622195571660995,0.011862466298043727,0.0047471459256485105,0.0025762951700016856,rbf,4.917510986328125,shared_main_reference,100,7cc1b49000737fa030df88a4c6798ab32b7908c7362aacccdfea70851971e9a3,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,c81ffd018b1f6d4c916866501b1aea8f3866b9061045b52fd49a644258f92812,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,2,201,pair_shuffled,10000,16,0.11924552917480469,d8505c6ba416eef684ddfcd7145bc8d208280eeee16f240efa5325244ef66633,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.2153858244419098,0.05,0.006505677942186594,0.011225810181349515,0.0047471459256485105,0.21063867851626128,rbf,4.917510986328125,shared_main_reference,100,7cc1b49000737fa030df88a4c6798ab32b7908c7362aacccdfea70851971e9a3,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,c81ffd018b1f6d4c916866501b1aea8f3866b9061045b52fd49a644258f92812,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,2,202,D0_vs_D0,10000,16,0.11912563443183899,ac8f5cae774d64428997c9daa62418ba9e091dbbc61d3f7b736d3cf07f191864,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.003798624500632286,0.2,0.0029567896854132414,0.005197210796177383,0.005860043689608574,-0.002061419188976288,rbf,4.9071855545043945,shared_main_reference,100,f3a452a03025a16037990388abcfba0c602613165502ba37500c3ab7a9c1af4b,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,05e55c202d424b88cd59664b70eb170237ae6107f9ffda590471c390f9b930f8,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,2,202,D1_vs_D0,10000,16,0.11912563443183899,ac8f5cae774d64428997c9daa62418ba9e091dbbc61d3f7b736d3cf07f191864,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.24379631876945496,0.05,0.0059717013500630856,0.012985755596309899,0.005860043689608574,0.23793627507984638,rbf,4.9071855545043945,shared_main_reference,100,f3a452a03025a16037990388abcfba0c602613165502ba37500c3ab7a9c1af4b,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,05e55c202d424b88cd59664b70eb170237ae6107f9ffda590471c390f9b930f8,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,2,202,D1_vs_D1,10000,16,0.11912563443183899,ac8f5cae774d64428997c9daa62418ba9e091dbbc61d3f7b736d3cf07f191864,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.007921462878584862,0.5,0.007916716858744621,0.012994930613785977,0.005860043689608574,0.002061419188976288,rbf,4.9071855545043945,shared_main_reference,100,f3a452a03025a16037990388abcfba0c602613165502ba37500c3ab7a9c1af4b,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,05e55c202d424b88cd59664b70eb170237ae6107f9ffda590471c390f9b930f8,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,2,202,pair_shuffled,10000,16,0.11912563443183899,ac8f5cae774d64428997c9daa62418ba9e091dbbc61d3f7b736d3cf07f191864,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.23889891803264618,0.05,0.005572130903601646,0.01085649589076638,0.005860043689608574,0.2330388743430376,rbf,4.9071855545043945,shared_main_reference,100,f3a452a03025a16037990388abcfba0c602613165502ba37500c3ab7a9c1af4b,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,05e55c202d424b88cd59664b70eb170237ae6107f9ffda590471c390f9b930f8,completed
