estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,silhouette_kmeans,silhouette_control_median,silhouette_null_median,silhouette_excess_null,kmeans_inertia,kmeans_adjusted_rand,kmeans_aligned_accuracy,kmeans_n_iter,kmeans_stability_ari,kmeans_stability_ari_median,kmeans_stability_ari_min,stability_pair_count,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,203,D1_vs_D0,10000,16,0.03301018849015236,c4321a4b200fd1f2485268d1f1a2617f32a7e8cddb0aa2b8dbcb9ff3f1de2706,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04147937521338463,0.042679114267230034,0.042679114267230034,-0.0011997390538454056,60743.375,1.2452377216209048e-05,0.5053000000000001,42,0.0561095577873657,0.009232543840758712,0.0012544168126888292,3,be9230cfabbce77df4eeb4b9f143c3e19a423606dbf4f0eeb32d76eb7b1821db,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,458de574c967f9cea7f15246fa27eefac2348b41c717801259326c13a3d6565c,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,203,D0_vs_D0,10000,16,0.03301018849015236,c4321a4b200fd1f2485268d1f1a2617f32a7e8cddb0aa2b8dbcb9ff3f1de2706,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04294922575354576,0.042679114267230034,0.042679114267230034,0.00027011148631572723,38056.3828125,-7.297267419741383e-05,0.5025999999999999,53,0.5050231136115754,0.47274103154402636,0.42739717814771827,3,be9230cfabbce77df4eeb4b9f143c3e19a423606dbf4f0eeb32d76eb7b1821db,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,458de574c967f9cea7f15246fa27eefac2348b41c717801259326c13a3d6565c,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,203,D1_vs_D1,10000,16,0.03301018849015236,c4321a4b200fd1f2485268d1f1a2617f32a7e8cddb0aa2b8dbcb9ff3f1de2706,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04240900278091431,0.042679114267230034,0.042679114267230034,-0.00027011148631572723,38364.58203125,-8.064640033940827e-05,0.5022,57,0.31521389538400985,0.3361016499329775,0.2581930606147398,3,be9230cfabbce77df4eeb4b9f143c3e19a423606dbf4f0eeb32d76eb7b1821db,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,458de574c967f9cea7f15246fa27eefac2348b41c717801259326c13a3d6565c,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,203,pair_shuffled,10000,16,0.03301018849015236,c4321a4b200fd1f2485268d1f1a2617f32a7e8cddb0aa2b8dbcb9ff3f1de2706,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.042454786598682404,0.042679114267230034,0.042679114267230034,-0.0002243276685476303,50183.87890625,0.0002920750823794919,0.5099,49,0.6807049754343121,0.7170419428713413,0.5702840656862834,3,be9230cfabbce77df4eeb4b9f143c3e19a423606dbf4f0eeb32d76eb7b1821db,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,458de574c967f9cea7f15246fa27eefac2348b41c717801259326c13a3d6565c,completed
