estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,silhouette_kmeans,silhouette_control_median,silhouette_null_median,silhouette_excess_null,kmeans_inertia,kmeans_adjusted_rand,kmeans_aligned_accuracy,kmeans_n_iter,kmeans_stability_ari,kmeans_stability_ari_median,kmeans_stability_ari_min,stability_pair_count,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,202,D1_vs_D0,10000,16,0.03294508159160614,681999aa858587d322b380b5c9e6b9ac7c0593827e2e01d764156ac04c26a402,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.041110482066869736,0.04318167082965374,0.04318167082965374,-0.002071188762784004,60641.859375,-9.323435654380629e-05,0.5013,22,0.09501316021699859,0.0038191463036459927,0.0012396983188979846,3,8d0af5f35f3d82cd90bd087b12adc66c2c5dff28448f972cc191c36daa4473fe,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,13a71885fdbf0f6c3d5cb30ba6a80f0b1152f961f7b2f0c223acae2306f294b3,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,202,D0_vs_D0,10000,16,0.03294508159160614,681999aa858587d322b380b5c9e6b9ac7c0593827e2e01d764156ac04c26a402,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.043148916214704514,0.04318167082965374,0.04318167082965374,-3.275461494922638e-05,38210.125,-8.556645625589706e-05,0.5019,47,0.5544236276779472,0.4387176329416335,0.4321179661285797,3,8d0af5f35f3d82cd90bd087b12adc66c2c5dff28448f972cc191c36daa4473fe,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,13a71885fdbf0f6c3d5cb30ba6a80f0b1152f961f7b2f0c223acae2306f294b3,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,202,D1_vs_D1,10000,16,0.03294508159160614,681999aa858587d322b380b5c9e6b9ac7c0593827e2e01d764156ac04c26a402,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.043214425444602966,0.04318167082965374,0.04318167082965374,3.275461494922638e-05,38335.625,-8.977819556872764e-05,0.5016,38,0.6052764523917796,0.6288118741801703,0.4941584358448604,3,8d0af5f35f3d82cd90bd087b12adc66c2c5dff28448f972cc191c36daa4473fe,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,13a71885fdbf0f6c3d5cb30ba6a80f0b1152f961f7b2f0c223acae2306f294b3,completed
present80_projected_geometry_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,202,pair_shuffled,10000,16,0.03294508159160614,681999aa858587d322b380b5c9e6b9ac7c0593827e2e01d764156ac04c26a402,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.04175616428256035,0.04318167082965374,0.04318167082965374,-0.0014255065470933914,49627.8359375,0.00011319159489198967,0.5073,84,0.3778256248362264,0.2682508095401661,0.21207351420354772,3,8d0af5f35f3d82cd90bd087b12adc66c2c5dff28448f972cc191c36daa4473fe,ae9bae7b7f7a637e643715b9ebf457a447973061f4f0d32756b5d7e87775b615,13a71885fdbf0f6c3d5cb30ba6a80f0b1152f961f7b2f0c223acae2306f294b3,completed
