estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,mmd2,mmd_permutation_p,mmd_permutation_null_median,mmd_permutation_null_q95,mmd_control_null_median,mmd_excess_null,mmd_kernel,mmd_bandwidth,mmd_bandwidth_scope,mmd_samples_per_distribution,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,203,D1_vs_D0,10000,16,0.03301018849015236,c4321a4b200fd1f2485268d1f1a2617f32a7e8cddb0aa2b8dbcb9ff3f1de2706,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.006149317137897015,0.75,0.0074002062901854515,0.009431467484682798,0.004167832434177399,0.001981484703719616,rbf,3.516848087310791,shared_main_reference,100,be9230cfabbce77df4eeb4b9f143c3e19a423606dbf4f0eeb32d76eb7b1821db,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,616567e54952bec262e0341fceb765200d270b329a47a22be6634e725a86d8be,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,203,D0_vs_D0,10000,16,0.03301018849015236,c4321a4b200fd1f2485268d1f1a2617f32a7e8cddb0aa2b8dbcb9ff3f1de2706,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.005057353060692549,0.5,0.004728502593934536,0.008693646546453234,0.004167832434177399,0.0008895206265151501,rbf,3.516848087310791,shared_main_reference,100,be9230cfabbce77df4eeb4b9f143c3e19a423606dbf4f0eeb32d76eb7b1821db,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,616567e54952bec262e0341fceb765200d270b329a47a22be6634e725a86d8be,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,203,D1_vs_D1,10000,16,0.03301018849015236,c4321a4b200fd1f2485268d1f1a2617f32a7e8cddb0aa2b8dbcb9ff3f1de2706,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.0032783118076622486,1.0,0.005077301524579525,0.00819110861048102,0.004167832434177399,-0.0008895206265151501,rbf,3.516848087310791,shared_main_reference,100,be9230cfabbce77df4eeb4b9f143c3e19a423606dbf4f0eeb32d76eb7b1821db,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,616567e54952bec262e0341fceb765200d270b329a47a22be6634e725a86d8be,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,9,4,203,pair_shuffled,10000,16,0.03301018849015236,c4321a4b200fd1f2485268d1f1a2617f32a7e8cddb0aa2b8dbcb9ff3f1de2706,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,,0.01365136168897152,0.05,0.0069427452981472015,0.008104975614696738,0.004167832434177399,0.00948352925479412,rbf,3.516848087310791,shared_main_reference,100,be9230cfabbce77df4eeb4b9f143c3e19a423606dbf4f0eeb32d76eb7b1821db,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,616567e54952bec262e0341fceb765200d270b329a47a22be6634e725a86d8be,completed
